National Diaper Bank Network | National Diaper Bank Network | https://nationaldiaperbanknetwork.org/ | Families in need of diapers; locates nearest member diaper bank | in-kind (free diapers) | Rolling | national nonprofit | Network of ~300 local diaper banks; great first stop for large families
Operation Homefront | Operation Homefront | https://operationhomefront.org/ | Military families in need | financial, housing, childcare, relief | Rolling | national nonprofit | Back-to-school, food, critical financial assistance
Blue Star Families | Blue Star Families | https://bluestarfam.org/ | Military families | programs and services | Rolling | national nonprofit | Family wellness and support programs
Fisher House Foundation | Fisher House Foundation | https://fisherhouse.org/ | Families of hospitalized Veterans and service members | free lodging near military hospitals | Rolling | national nonprofit | Houses families during treatment
Army Emergency Relief | Army Emergency Relief (AER) | https://www.aerhq.org/ | Active/retired Soldiers and their families | financial assistance (grants/loans) | Rolling | national nonprofit | Emergency funds for rent, utilities, food, travel
Air Force Aid Society | Air Force Aid Society (AFAS) | https://www.afas.org/ | Air Force members and their families | financial assistance | Rolling | national nonprofit | Emergency assistance and education funds
Coast Guard Mutual Assistance | Coast Guard Mutual Assistance | https://www.cgmahq.org/ | Coast Guard members and their families | financial assistance | Rolling | national nonprofit | Emergency financial help and loans
Society of St. Vincent de Paul | Society of St. Vincent de Paul | https://www.svdpusa.org/ | Individuals and families in need | emergency assistance (rent, utilities, food, clothing) | Rolling | faith/church | Local councils offer help; find nearest conference
Catholic Charities USA | Catholic Charities | https://www.catholiccharitiesusa.org/ | Families in need | varies by agency (food, shelter, rent) | Rolling | faith/church | 160+ local agencies; family support
Lutheran Social Service of MN | LSS of Minnesota | https://www.lssmn.org/ | Families in need in Minnesota | varies (housing, family support) | Rolling | faith/church | MN statewide family services
Jewish Family Service LA | Jewish Family Service LA | https://www.jfsla.org/ | Families in need in Greater LA | food, financial, counseling | Rolling | faith/church | LA county family assistance
Buckner International | Buckner International | https://www.buckner.org/ | Children and families in need | family programs, foster, relief | Rolling | faith/church | Family strengthening and children's programs
United Way 211 | United Way | https://www.211.org/ | Anyone needing local help | referral to local assistance programs | Rolling | 211 | Dial 211 for food, housing, utilities, childcare help
findhelp.org | findhelp (Unite Us) | https://www.findhelp.org/ | Anyone; search by zip for local programs | referral to local benefits/resources | Rolling | 211 | Free directory of local social services
Boys & Girls Clubs of America | Boys & Girls Clubs of America | https://www.bgca.org/ | Youth needing affordable afterschool care | program/financial aid | Rolling | national nonprofit | Afterschool care for working parents
YMCA | YMCA of the USA | https://www.ymca.org/ | Families | childcare, programs, financial assistance | Rolling | national nonprofit | Sliding-scale childcare and family programs
Freecycle | Freecycle Network | https://www.freecycle.org/ | Anyone (free kids clothing, gear, toys) | in-kind (gifted items) | Rolling | civic club | Freecycle groups for hand-me-downs and baby gear
