# LONG-TAIL PROFESSIONAL GRANTS & SCHOLARSHIPS — FIRST RESPONDERS / TEACHERS / NURSES — swept 2026-08-15
# Shinnslist research. All URLs verified HTTP 200 (or WAF-live / known-active) at sweep time.
# Source: primary org sites via curl + browser. Re-verify before re-reporting (liveness/deadlines drift).
# Legend: source_type = PRIMARY (org's own page, HTTP 200) | WAF-LIVE (bot-wall blocks curl, org confirmed live/active via browser or known-active federal program)
# NOTE on HRSA/NHSC: hrsa.gov + nhsc.hrsa.gov hard-block ALL automated access ("Access Denied"). These are flagship, currently-active federal programs; re-open annually. Verify current cycle dates on site.

NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | CATEGORY | NOTES

# ------------------------------ TEACHERS / EDUCATORS ------------------------------
TEACH Grant | U.S. Dept of Education (Federal Student Aid) | https://studentaid.gov/teach-grant | Undergraduate/graduate students pursuing teaching; agree to teach high-need field in low-income school 4+ yrs | Up to $4,000/yr (max $16,000 undergrad / $8,000 grad) | ROLLING (per academic year; sign Agreement to Serve) | PRIMARY | TEACHER | Must meet 3.25 GPA & service obligation; converts to loan if obligation unmet. High-need subjects (STEM, special ed, bilingual, etc.).
Teacher Loan Forgiveness | U.S. Dept of Education | https://studentaid.gov/manage-loans/forgiveness-cancellation/teacher | Teachers in low-income schools for 5 consecutive years; subject-area requirement for $17,500 tier | Up to $5,000 or $17,500 (subject-area teachers) | ROLLING (after 5 yrs qualifying service) | PRIMARY | TEACHER | Cancels portion of Direct/FFEL loans. Separate from PSLF.
Public Service Loan Forgiveness (PSLF) | U.S. Dept of Education | https://studentaid.gov/manage-loans/forgiveness-cancellation/public-service | Government/nonprofit workers incl. teachers, nurses, first responders; 120 qualifying payments | Full remaining balance forgiven (tax-free) | ROLLING (after 120 payments under eligible plan) | PRIMARY | TEACHER (cross: FR/NURSE) | Applies to teachers, nurses, first responders at qualifying employers. Must consolidate to Direct + income-driven plan.
NEA Foundation Grants | National Education Association Foundation | https://www.neafoundation.org/ | PreK-12 public-school educators (US) for classroom projects/professional development | Up to $5,000 per grant | Annual (multiple cycles; typically fall/spring) | PRIMARY | TEACHER | Covers supplies, technology, PD. Also Student Achievement Grants & Learning & Leadership Grants.
DonorsChoose | DonorsChoose | https://www.donorschoose.org/ | US public-school teachers (K-12) request classroom project funding | Typical project $100–$1,000+ (crowdfunded) | ROLLING (anytime; corporate match opportunities) | PRIMARY | TEACHER | Crowdfunding for classroom needs. Org qualifies for corporate/partner matching funds frequently.
Fund for Teachers | Fund for Teachers | https://www.fundforteachers.org/ | PreK-12 teachers (selected cities/national fellowships) for self-designed professional development | Up to $5,000 (individual) / $10,000 (team) | Annual (applications ~Oct–Jan) | PRIMARY | TEACHER | Funds travel/study for teacher-designed PD. City-specific + national fellowship programs.
Dollar General Literacy Foundation Grants | Dollar General Literacy Foundation | https://www.dgliteracy.org/ | Literacy programs serving adults/children; incl. classroom & youth literacy grants for teachers | Varies (typically $500–$3,000) | Annual (cycles ~Feb/Mar for school grants) | PRIMARY | TEACHER | Grants to schools/libraries/nonprofits for literacy. Includes Youth Literacy grants to K-12 teachers.
Association of American Educators Foundation Grants | Association of American Educators (AAE) | https://www.aaeteachers.org/ | K-12 public/private/charter teachers (US); member-only classroom grants | Up to $500 (Classroom Grant) | ROLLING (quarterly grant cycles) | PRIMARY | TEACHER | Small classroom grants + other educator grants. AAE membership required.
AFT Grants & Awards | American Federation of Teachers (AFT) | https://www.aft.org/ | AFT members (educators) for professional development & classroom projects | Varies (multiple awards) | Annual | PRIMARY | TEACHER | AFT-affiliated grants/fellowships; check AFT "Grants & Awards" page per program.
Kids In Need Foundation Grants | Kids In Need Foundation | https://www.kinf.org/ | K-12 teachers in low-income/under-resourced schools for classroom supplies | Varies (supply grants & kits) | Annual/ROLLING | PRIMARY | TEACHER | Provides free school supplies to teachers in Title I schools. Partner programs + grant cycles.
AdoptAClassroom | AdoptAClassroom | https://www.adoptaclassroom.org/ | K-12 teachers (US) register for classroom funding | Varies (crowdfunded; org funds via sponsors) | ROLLING | PRIMARY | TEACHER | Teachers register, donors/sponsors fund classroom supplies; corporate sponsor programs.
National Board Certification Support (NBPTS) | National Board for Professional Teaching Standards | https://www.nbpts.org/ | K-12 teachers pursuing National Board Certification | Varies (stipends/scholarships; many states fund fee) | ROLLING/Annual | PRIMARY | TEACHER | Many states/schools pay certification fee or give bonuses; some districts provide NBPTS scholarship support.

# ------------------------------ NURSES / HEALTHCARE ------------------------------
Nurse Corps Scholarship Program | Health Resources & Services Administration (HRSA) | https://bhw.hrsa.gov/funding/apply-grant/nurse-corps-scholarship-program | Nursing students (RN, APRN, nurse faculty) committed to 2-yr service in Health Professional Shortage Area (HPSA) | Full tuition/fees + monthly stipend | Annual (application cycle ~Feb–Apr) | WAF-LIVE | NURSE | Flagship federal nursing scholarship. Requires service obligation. HRSA site blocks automated access — re-open annually.
Nurse Corps Loan Repayment Program | HRSA | https://bhw.hrsa.gov/funding/apply-grant/nurse-corps-loan-repayment-program | RNs, APRNs, nurse faculty working in HPSA/critical-shortage facility | Up to 85% of qualifying loans (up to ~$40k for 2 yrs) | Annual (cycle ~Feb–Apr) | WAF-LIVE | NURSE | Federal loan repayment for nurses serving in shortage areas. Service obligation required.
NHSC Loan Repayment Program | National Health Service Corps (HRSA) | https://nhsc.hrsa.gov/loan-repayment | Primary care, dental, & mental/behavioral health clinicians at NHSC-approved sites in HPSAs | Up to $50,000 (2-yr) up to $75,000 (certain clinicians); up to $100k with additional terms | Annual (cycle ~Feb–Apr) | WAF-LIVE | NURSE/HEALTHCARE | For physicians, NPs, PAs, RNs, dentists, behavioral health providers at NHSC sites. Taxable benefit.
NHSC Scholarship Program | National Health Service Corps (HRSA) | https://nhsc.hrsa.gov/scholarships | Students in eligible primary-care/dental/behavioral-health programs committed to service in HPSA | Full tuition/fees + monthly stipend | Annual (application cycle ~spring) | WAF-LIVE | NURSE/HEALTHCARE | Pays for clinical training in exchange for service commitment at NHSC site. Competitive.
HRSA State Loan Repayment Program (SLRP) | HRSA | https://www.hrsa.gov/loanscholarships/state-loan-repayment | Primary care, dental, behavioral health, & other clinicians via state-administered programs in shortage areas | Varies by state (avg up to ~$50k/2 yrs) | State-specific (annual cycles) | WAF-LIVE | NURSE/HEALTHCARE | HRSA matches state funds to repay loans; run through state agencies. Check your state's SLRP.
American Nurses Foundation Scholarships | American Nurses Foundation (ANA) | https://www.anef.org/ | Nursing students & nurses pursuing advanced education/research | Varies (several scholarship funds) | Annual (varies by fund) | PRIMARY | NURSE | ANA-affiliated foundation; multiple named nursing scholarships + research grants. Check per-fund deadlines.
National League for Nursing Scholarships | National League for Nursing (NLN) | https://www.nln.org/ | Nursing students & faculty (accredited programs) | Varies (multiple scholarship funds) | Annual | PRIMARY | NURSE | NLN offers multiple scholarships (undergrad, grad, faculty). Check NLN "Scholarships" page.
DAISY Foundation Awards | DAISY Foundation | https://www.daisyfoundation.org/ | Nurses & nursing students (awards/honoraria, scholarships) | Varies (awards & scholarships) | ROLLING/Annual | PRIMARY | NURSE | "Extraordinary Nurses" recognition; also DAISY scholarships for nursing students. Nominations via healthcare facilities.
Emergency Nurses Association (ENA) Foundation Scholarships | ENA Foundation | https://www.ena.org/foundation | Emergency nurses & nursing students pursuing emergency-nursing education | Varies (scholarships ~$500–$5,000) | Annual (fall deadline typical) | PRIMARY | NURSE | Supports emergency-nursing students & RNs advancing in emergency care. Multiple named funds.
AACN (American Association of Critical-Care Nurses) | AACN | https://www.aacn.org/ | Critical-care nurses (certification, scholarships, grants) | Varies | Annual/ROLLING | PRIMARY | NURSE | AACN cert scholarships, education grants & awards for critical-care nurses.
March of Dimes Nursing Scholarships | March of Dimes | https://www.marchofdimes.org/ | Nurses & nursing students (maternal-child health focus) | Varies (scholarship awards) | Annual | PRIMARY | NURSE | Supports nurses advancing in perinatal/maternal-child health. Check current scholarship offerings.
NBNA Scholarships | National Black Nurses Association | https://www.nbna.org/ | Black nursing students & nurses (undergrad, grad, doctoral) | Varies (typically $500–$5,000+) | Annual (applications ~winter/spring) | PRIMARY | NURSE | Multiple NBNA scholarship funds for Black nursing students across all degree levels.
Nurses House Financial Assistance | Nurses House, Inc. | https://www.nurseshouse.org/ | RNs in need due to illness, disability, or financial hardship | Varies (grants to cover essentials) | ROLLING (need-based) | PRIMARY | NURSE | Confidential grants for RNs facing hardship; national nonprofit helping nurses in crisis.
