# Shinnslist Long-Tail Research: Assistance for SINGLE FATHERS (+ general single-parent programs serving dads)
# Sweep date: 2026-08-15. All URLs verified HTTP 200 at sweep time. Excludes big federal programs (SNAP/TANF/LIHEAP/SSI).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | DAD_SPECIFIC_OR_GENERAL | ONE-LINE_NOTES

National Responsible Fatherhood Clearinghouse (NRFC) - Program Map & Call Center | U.S. HHS / NRFC | https://fatherhood.gov/ | Dads (custodial & non-custodial) seeking local responsible-fatherhood programs; also practitioners | Varies by local program (referral/coaching) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Clearinghouse links to state/local dad programs; national call center 1-877-4DAD411 for dads.
Single Parent Advocate | Single Parent Advocate | https://www.singleparentadvocate.org/ | Single parents (moms and dads) | Connections to food, housing, emergency help (referral) | Rolling | General single-parent nonprofit | GENERAL | Resource/referral hub for single parents; also accepts donations to fund essentials.

Elks National Foundation - Most Valuable Student (MVS) Scholarship | Benevolent & Protective Order of Elks | https://www.elks.org/scholars/ | U.S. high-school seniors entering 4-year college (financial need + leadership); single parents may apply if eligible HS senior | $1,000 to $7,500/year, renewable; 500 scholarships | Annual (application opens ~Sept) | Civic club scholarship | GENERAL | Gender-neutral competitive scholarship; also Legacy and Emergency Educational grants via ENF.

Catholic Charities USA - Emergency/Family Assistance | Catholic Charities USA (local agencies) | https://catholiccharitiesusa.org/ | Low-income families incl. single fathers | Emergency rent, utilities, food, case mgmt (varies by diocese) | Rolling (via local agency) | Faith org | GENERAL | 160+ local agencies; emergency assistance available to single dads in every metro.

St. Vincent de Paul (SVdP USA) | Society of St. Vincent de Paul | https://www.svdpusa.org/ | Individuals/families in need incl. single fathers | Emergency food, rent, utilities, clothing (varies) | Rolling (via local conference) | Faith org | GENERAL | 4,500+ local councils/conferences nationwide help families regardless of family type.

Lutheran Services in America | Lutheran Services in America (member network) | https://www.lutheranservices.org/ | Families in need incl. single parents | Health, housing, family services (varies) | Rolling (via local member) | Faith org | GENERAL | 300+ member orgs serving families; no gender restriction.

The Salvation Army - Family & Utility Assistance | The Salvation Army (national) | https://www.salvationarmyusa.org/usn/ | Low-income individuals/families incl. single fathers | Emergency rent, utilities, food, shelter (varies) | Rolling (via local corps) | Faith org | GENERAL | Nationwide network of family-service centers; assists single dads.

Jewish Family Services Los Angeles (JFS LA) | Jewish Family Service LA | https://www.jfsla.org/ | Families and individuals in need incl. single parents | Food, rent, counseling, employment help (varies) | Rolling | Faith org | GENERAL | 1,400+ programs; serves all residents, not only Jewish.

Jewish Family and Children's Services (JFCS) | JFCS | https://www.jfcs.org/ | Families and individuals in need incl. single parents | Counseling, financial assistance, food (varies) | Rolling | Faith org | GENERAL | Multi-region JFCS serving all families regardless of background.

211 - Community Resource Navigation | 211 (United Way network) | https://www.211.org/ | Any individual/family incl. single fathers | Referrals to local rent, utility, food, childcare help | Rolling | 211 / community directory | GENERAL | Dial 211 or visit to find local assistance; key discovery channel for dad-specific local programs.

United Way - Local Assistance & 211 | United Way Worldwide (local UWs) | https://www.unitedway.org/ | Families and individuals in need incl. single parents | Local grants, food, housing, 211 (varies) | Rolling (via local UW) | Civic / community | GENERAL | Local United Ways fund and run single-parent and emergency assistance.

Operation Homefront | Operation Homefront | https://www.operationhomefront.org/ | Military and veteran families incl. single-parent military families | Financial relief, housing, food assistance (varies) | Rolling | National nonprofit | GENERAL | Supports military families; helpful for single-father service members/veterans.

Project HOPE | Project HOPE | https://www.projecthope.org/ | Families affected by health crises (global/US) | Health programs, family assistance (varies) | Rolling | National nonprofit | GENERAL | Health-focused relief org; some US family health assistance.

Volunteers of America (VOA) | Volunteers of America (national) | https://www.voa.org/ | Low-income individuals/families incl. single dads | Housing, family services, fatherhood programs (varies) | Rolling (via local chapter) | National nonprofit | GENERAL | Parent org of Operation Fatherhood; local chapters run family and housing programs.

Nexus Family Healing | Nexus Family Healing | https://www.nexusfamilyhealing.org/ | Children and families incl. single parents in crisis | Mental-health, foster-care, family support services (varies) | Rolling | National nonprofit | GENERAL | Behavioral-health and family preservation services; welcomes single-father families.
