# Shinnslist Long-Tail Research: Sports/Athletic + First-Gen + Funeral/Burial Assistance
# All URLs verified HTTP 200 via curl or browser unless noted (Aug 2026). 403 = site live but bot-WAF-walled (still real/current). NXDOMAIN = dead, flagged.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

# ================= BUCKET 1: SPORTS / ATHLETIC SCHOLARSHIPS & GRANTS =================
Evans Scholarship | Western Golf Association / Evans Scholars Foundation | https://www.wgaesf.org/ | HS seniors who caddie (20+ rounds, 2+ yrs typically), strong academics & financial need | Full tuition + housing (4-yr, renewable at 28 partner universities) | Application OPEN now (browser-verified Aug 2026); annual | foundation | Browser-verified LIVE; nation's largest caddie scholarship; apply via caddie program
First Tee | First Tee | https://firsttee.org/ | First Tee program participants (youth) pursuing college | College scholarships (multiple) | Annual | nonprofit | Golf + life-skills youth org; direct college scholarship pipeline
U.S. Figure Skating Scholarships | U.S. Figure Skating | https://www.usfigureskating.org/ | U.S. Figure Skating members / skaters | College scholarships (member-based) | Annual | sport NGB | Skating member scholarships for college
USA Swimming Scholarships | USA Swimming | https://www.usaswimming.org/ | USA Swimming members / competitive swimmers | Scholarships (member-based) | Annual | sport NGB | National governing body member scholarships
USA Lacrosse Scholarships | USA Lacrosse | https://www.usalacrosse.org/ | USA Lacrosse members / lacrosse student-athletes | College scholarships (member-based) | Annual | sport NGB | National governing body member scholarships
USGA Scholars | United States Golf Association (USGA) | https://www.usga.org/ | Caddies / golf-industry employees pursuing college | Up to ~$5,000/yr (renewable) | Annual | foundation | 403 WAF-walled to curl but USGA is live/current (national golf governing body)
US Ski & Snowboard Athlete Support | U.S. Ski & Snowboard | https://usskiandsnowboard.org/ | Competing U.S. ski/snowboard athletes (members) | Athlete support/grants | Rolling | sport NGB | 403 Cloudflare-walled to curl but live/current national governing body

# ================= BUCKET 2: FIRST-GENERATION COLLEGE SCHOLARSHIPS =================
Dell Scholars | Michael & Susan Dell Foundation | https://www.dellscholars.org/ | Low-income, first-generation HS seniors who are Pell-eligible & in a Dell-partnered college-prep program, entering accredited 4-yr college | $20,000 (renewable) + laptop + up to $6,000 emergency aid | Annual (~Oct-Dec app, awards ~Apr) | foundation | Flagship first-gen+low-income award; also in students vertical
I'm First! | Center for Student Opportunity (ImFirst) | https://imfirst.org/ | First-generation college students | Scholarship matching + advising/resources | Rolling | nonprofit | Hub connecting first-gen students to scholarships + mentors
Washington State Opportunity Scholarship | Washington State Opportunity Scholarship (WSOS) | https://www.waopportunityscholarship.org/ | WA low/middle-income students pursuing STEM, health care, trade/tech apprenticeships (first-gen priority) | Up to $22,500 (Bachelor of Applied Science/STEM-Health pathway) | Annual; apply via FAFSA/WASFA | state | Strong first-gen/underserved focus; includes mentor support
Generation Hope | Generation Hope | https://www.generationhope.org/ | Teen parents (many first-gen) pursuing college; also provides family engagement programming | Scholarships + wraparound support (Scholar Program) | Annual | nonprofit | Focus on parenting students as first-gen barrier-breakers
Jeannette Rankin Foundation | Jeannette Rankin Foundation | https://rankinfoundation.org/ | Women age 35+ pursuing first bachelor's/associate/technical degree, low-income (majority first-gen) | Up to ~$3,000 | Annual | foundation | Non-traditional first-gen women; strong need focus
College Success Foundation | College Success Foundation (CSF) | https://collegesuccessfoundation.org/ | Low-income, first-generation students in WA/DC/GA (AVID + partner pipelines) | Scholarships + coaching | Annual | nonprofit | Middle+high school-to-college support with direct scholarships
Florida First Generation Matching Grant | Florida Dept of Education (FLDOE) | https://www.floridastudentfinancialaidsg.org/ | Florida residents, first-generation college students w/ financial need at eligible FL schools | State grant matching institutional aid (varies) | FAFSA/state application each year | state | Need-based first-gen state grant
TRIO Programs (Student Support Services) | U.S. Dept of Education | https://www2.ed.gov/about/offices/list/ope/trio/index.html | First-generation, low-income, and/or students with disabilities in college | Support services + grant aid (varies by campus) | Rolling/varies by campus | federal | Federal TRIO umbrella; campus-administered — join via your college's TRIO office
Jackie Robinson Foundation | Jackie Robinson Foundation (JRF) | https://www.jackierobinson.org/ | Minority HS seniors (many first-gen) w/ strong financial need, leadership, academics | Up to $35,000 over 4 yrs + mentoring/leadership program | Annual | foundation | Need+merit; first-gen supportive; mentorship differentiator

# ================= BUCKET 3: FUNERAL / BURIAL FINANCIAL ASSISTANCE =================
VA Burial & Memorial Benefits | U.S. Dept of Veterans Affairs | https://www.va.gov/burials-memorials/ | Veterans & their eligible family members | Free burial in a VA national cemetery + burial/plot allowance up to $2,000 (service-connected) + free headstone/medallion | Rolling; submit claim anytime | federal | Largest single source of burial help for veterans/families; apply via VA Form 21P-530
Social Security One-Time Death Payment | Social Security Administration (SSA) | https://www.ssa.gov/benefits/survivors/ | Surviving spouse or eligible child of a deceased worker | One-time $255 | Rolling; claim within 2 yrs of death | federal | 403 WAF-walled to curl but SSA live; small but instant-claimable
TAPS (Tragedy Assistance Program for Survivors) | TAPS | https://www.taps.org/ | Families of fallen U.S. military service members (all eras) | Grief support, resources, financial assistance/guidance | Rolling | nonprofit | Gold Star family support; helps navigate survivor benefits
Concerns of Police Survivors (C.O.P.S.) | C.O.P.S. | https://www.nationalcops.org/ | Families of officers killed in the line of duty | Support, resources, assistance | Rolling | nonprofit | Line-of-duty survivor support org
MADD Victim Services | Mothers Against Drunk Driving | https://madd.org/ | Families/friends of drunk-driving crash victims | Support, resources, referral (local victim advocates) | Rolling | nonprofit | Victim services incl. guidance through aftermath
Catholic Charities (local chapters) | Catholic Charities USA | https://www.catholiccharitiesusa.org/ | Low-income families (local chapter catchment areas) | Emergency financial assistance incl. funeral/burial (discretionary, local) | Rolling; contact local chapter | faith | Local chapters pay funeral costs on a case-by-case basis — call your local office
St. Vincent de Paul | Society of St. Vincent de Paul USA | https://www.svdpusa.org/ | Low-income individuals/families (local conferences) | Emergency assistance incl. burial/funeral (discretionary, local) | Rolling; contact local conference | faith | Local SVdP conferences frequently cover funeral/burial costs case-by-case
Jewish Family Service (Los Angeles) | Jewish Family Service LA | https://www.jfsla.org/ | LA-area community members (Jewish + all) in need | Burial/funeral assistance + bereavement support | Rolling | faith | Example of a JFS chapter offering burial/crisis assistance
211 (Funeral/Burial Assistance referral) | United Way 211 | https://www.211.org/ | Anyone — connects to local burial/funeral assistance programs | Referral to local orgs/indigent-burial programs (varies) | Rolling | referral | First stop: dial 211 for local funeral-assistance programs, county indigent burial, faith orgs
Funeral Consumers Alliance | Funeral Consumers Alliance (FCA) | https://www.funerals.org/ | General public (all) | Education/negotiation help to cut funeral costs (not cash) | Rolling | nonprofit | Consumer-advocacy org; local affiliates negotiate lower prices — money saved counts
American Red Cross - Hero Care | American Red Cross | https://www.redcross.org/ | Military families (active duty) | Emergency communication + help arranging emergency funeral travel | Rolling | nonprofit | Hero Care network supports military families w/ funeral-related emergency needs
Navy-Marine Corps Relief Society | Navy-Marine Corps Relief Society (NMCRS) | https://www.nmcrs.org/ | Active-duty/retired Navy & Marine Corps members + dependents | Emergency financial assistance incl. funeral/transportation costs | Rolling | nonprofit | Interest-free loans/grants for emergency incl. death/burial of family
Army Emergency Relief | Army Emergency Relief (AER) | https://www.aerhq.org/ | Soldiers (active/Reserve/Guard) + their families | Emergency financial assistance incl. funeral expenses | Rolling | nonprofit | Military relief society; grants/loans for emergencies incl. burial
Air & Space Forces Aid Society | Air Force Aid Society (AFAS) | https://www.afas.org/ | Airmen/Guardians + their families | Emergency financial assistance incl. funeral | Rolling | nonprofit | Military relief society; emergency grants/loans
Coast Guard Mutual Assistance | Coast Guard Mutual Assistance (CGMA) | https://www.cgmahq.org/ | USCG members + their families | Emergency financial assistance incl. funeral/burial | Rolling | nonprofit | Military relief society
CancerCare | CancerCare | https://www.cancercare.org/ | Cancer patients & families | Limited financial assistance for cancer-related costs (can include funeral/burial-related) | Rolling | nonprofit | Professional oncology counseling + limited direct financial aid
American Legion | The American Legion | https://www.legion.org/ | Veterans & their families | Burial honors/assistance support for veterans (guidance + honors) | Rolling | veterans | Help arranging military burial honors + guidance on VA burial benefits

# ================= FLAGGED / EXCLUDED (verified this run) =================
# goldstarmoms.com — 200 but TITLE IS GAMBLING-SPAM (บาคาร่า) → compromised/hijacked domain, DO NOT list
# jrf.org — 200 but body ~114 bytes (parked/empty shell) → real org is jackierobinson.org
# PGA WORKS (pgaworks.org / pgareach.org) — scholarship page returns "unavailable" even in browser Aug 2026 → flag for re-verify
# Baseball Tomorrow Fund (mlb.com/baseball-tomorrow-fund + baseballtomorrowfund.com) — 404/NXDOMAIN → flag (also org-level youth baseball grants, not individual scholarships)
# Sallie Mae Fund "Bridging the Dream" — salliemaefund.com NXDOMAIN; salliemae.com path 404 → flag for re-verify (may be discontinued)
# Angels Among Us (angelsamongus.org) — 000 (bot-blocked/unreachable) → flag for manual Chrome
