# Shinnslist — Long-Tail: Elder Care / Nursing Care / In-Home Care / Caregiver Support Programs for Individuals & Families
# Prepared: 2026-08-15 · Method: named federal (VA/ACL/CMS/DOJ) + national nonprofits (Alzheimer's/AFA/ARCH/Rosalynn Carter) + state aging networks + PACE/adult-day + home-modification. NOT NFCSP, NOT Medicaid (already covered elsewhere).
# URL verification: every URL HTTP 200 at sweep time (curl -A Chrome; 403 = live-but-bot-walled flagged; ARCH subpages + WellMed verified 200 in-browser). All currently open / rolling unless a deadline is stated.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT/WHAT_THEY_GIVE | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

# --- VETERANS / VA (elder-care + caregiver cash/stipend benefits) ---
Jean Griswold Foundation Caregiver Scholarships | Jean Griswold Foundation (via ARCH) | https://archrespite.org/jean-griswold-foundation-scholarships-for-caregivers/ | Caregivers of any kind (incl. in-home care professionals); caregiver AND a sponsor must each submit | Up to $3,000 education scholarship per caregiver | Deadline 11:59pm ET 8/31/2026 (this cycle) | scholarship | Browser-verified 200; re-check exact deadline before applying (page shows mixed dates)
Rosalynn Carter Institute for Caregivers | RCI | https://rosalynncarter.org/ | Family caregivers nationwide | Evidence-based caregiver training, support, advocacy; RCI Caregiver Network | Rolling | nonprofit resource | Legacy of Pres. & Mrs. Carter; strong caregiver research/education
John & Betty Pope Caregiver Scholarship | Rosalynn Carter Institute | https://rosalynncarter.org/john-and-betty-pope-caregivers-scholarship/ | Caregivers pursuing higher education/degree | Scholarship toward caregiver's education (varies) | Annual cycle (rolling) | scholarship | See RCI site for current application window
WellMed Charitable Foundation — Caregiver SOS | WellMed Charitable Foundation | https://www.wellmedcharitablefoundation.org/caregiver-support/ | Family caregivers (any income) | FREE caregiver coaching by phone, Caregiver Teleconnection phone groups, Stress-Busting Program, caregiver summit | Rolling | nonprofit service (200 verified in-browser) | Call 1-866-390-6491 or caregiversos@wellmed.net; no cost to caregivers
Caregiver Action Network (CAN) | CAN (national 501c3) | https://caregiveraction.org/ | Family caregivers nationwide | Free tools, family caregiver "Family Caregiver of the Year" awards, Family Caregiver Toolbox | Rolling | nonprofit resource | Caregiver-to-caregiver support; free webinars & guides
National Alliance for Caregiving | National Alliance for Caregiving | https://www.caregiving.org/ | Family caregivers & researchers | Research, toolkits, policy resources, caregiver surveys/guides | Rolling | nonprofit resource | Trusted evidence base + program referrals

# --- MILITARY / VETERAN CAREGIVER (civilian nonprofit) ---
Elizabeth Dole Foundation (Hidden Heroes) | Elizabeth Dole Foundation | https://www.elizabethdolefoundation.org/ | Military & veteran family caregivers | Hidden Heroes support network, online community, caregiving resources, fellows program | Rolling | nonprofit | Dedicated to the 5.5M military caregivers; grants/opportunities for military caregivers

# --- MEALS / DAILY LIVING SUPPORT ---
Meals on Wheels America | Meals on Wheels America (national) | https://www.mealsonwheelsamerica.org/ | Homebound seniors 60+ (income-flexible) | Home-delivered meals + friendly visits/safety checks via local programs | Rolling; local capacity | nonprofit service | Find local program; many also offer pet meals, pantry boxes, referrals

# --- STATE-LEVEL EXAMPLES (representative; each state has its own) ---
California Caregiver Resource Centers | CA Dept of Aging via county CRCs | https://www.caregivercalifornia.org/ | Family caregivers of older adults in CA | Free counseling, respite referral, education, support groups (state-funded) | Rolling | state benefit | California model — 11 regional CRCs; free to caregivers
NY Connects | NY State Office for the Aging / DOH | https://www.nyconnects.ny.gov/ | NY residents of all ages needing LTSS (incl. seniors & caregivers) | Free Long-Term Care options counseling & finder (adult day, home care, respite, housing) | Rolling | state benefit/finder | NY's Aging & Disability Resource Center equivalent (No Wrong Door)

# --- AARP / GENERAL SENIOR-POVERTY HELP ---
AARP Foundation | AARP Foundation | https://www.aarp.org/aarp-foundation/ | Low-income adults 50+ (incl. seniors) | Free services: tax help, SNAP benefit access, housing stability, meals, legal help, benefits checkup | Rolling | nonprofit service | Benefits QuickLINK helps find senior benefits; also SSA claims help
