# SHINNSLIST LONG-TAIL RESEARCH — CAR/VEHICLE/MOBILITY ASSISTANCE FOR PEOPLE WITH DISABILITIES
# Research compiled 2026-08-15 for the Shinnslist long-tail grant sweep (docs/long-tail-coverage.md).
# Focus: adaptive vehicle / wheelchair van purchase & modification, mobility equipment, driving evaluation & lessons,
# car repair for people with disabilities. Excludes SSI/SSDI/Medicaid/Medicare/SNAP/WIC/TANF/LIHEAP/EITC/Section 8/USDA 504
# and the general car-charity programs already in the DB.
# URL verification: every URL curl-checked HTTP 200 on 2026-08-15 via `curl -sIL -o /dev/null -w '%{http_code}' -L`.
# FORMAT: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

NMEDA - National Mobility Equipment Dealers Association | NMEDA (nonprofit) | https://nmeda.org/ | People with disabilities needing adaptive vehicle equipment/dealers | Varies (free dealer directory & consumer info) | Rolling | ORG | Accredited dealers for hand controls, lifts, vans; consumer guidance + safety info.
United Cerebral Palsy (UCP) - Assistive Tech | United Cerebral Palsy | https://ucp.org/ | People with cerebral palsy needing assistive tech/mobility | Varies (AT & mobility support) | Rolling | ORG | National network providing assistive technology & mobility resources.
Christopher & Dana Reeve Foundation - Quality of Life Grants | Reeve Foundation | https://www.christopherreeve.org/ | People living with paralysis needing equipment/mobility | Varies (grants for equipment & access) | Rolling | ORG | Paralysis-specific grants incl. mobility equipment & vehicle access.
Challenged Athletes Foundation - Equipment Grants | Challenged Athletes Foundation | https://www.challengedathletes.org/ | Athletes with physical disabilities needing adaptive equipment | Varies (adaptive sports equipment) | Rolling (2x/yr) | ORG | Premier adaptive-equipment funder (sport chairs, handcycles, prosthetics).
VA Automobile Adaptive Equipment Grant | U.S. Dept. of Veterans Affairs | https://www.benefits.va.gov/COMPENSATION/claims-special-auto.asp | Veterans with service-connected disability requiring adaptive vehicle equipment | Up to ~$27,000 (equipment grant) | Rolling | GOV | VA pays toward adaptive equipment installed on veteran's vehicle (hand controls, lifts, etc.).
Washington AT Program (WATAP) | Washington State / AbilityNet | https://watap.org/ | Washington residents with disabilities needing assistive tech incl. vehicle | Loans up to ~$45,000 lifetime (AT incl. vehicle mods) | Rolling | STATE | State AT loan program funds adaptive equipment incl. vehicle modifications.
Massachusetts Assistive Technology Loan (MASSMATCH) | Massachusetts AT Loan (Independence Technology) | https://massmatch.org/ | Massachusetts residents with disabilities needing AT/vehicle | Loans up to ~$50,000 (AT incl. vehicle mods) | Rolling | STATE | Low-interest AT loans covering vehicle adaptations, mobility equipment.
Nebraska AT Program | Nebraska AT Program (Dept of Ed) | https://atp.ne.gov/ | Nebraskans with disabilities needing assistive tech | Varies (loans, equipment, demos) | Rolling | STATE | State AT lending program incl. vehicle & mobility equipment.
Tennessee Assistive Technology (TASC) | Tennessee Assistive Technology Access Coalition | https://www.tascnetwork.org/ | Tennesseans with disabilities needing assistive tech | Varies (AT lending & loans) | Rolling | STATE | Statewide AT resource incl. vehicle accessibility equipment.
Ohio AT Program (OhioSATP) | Ohio Assistive Technology Program | https://www.atohio.org/ | Ohioans with disabilities needing assistive technology | Varies (AT loans & lending library) | Rolling | STATE | State AT program; vehicle & mobility equipment lending/loans.
Shepherd Center - Driving Program | Shepherd Center (GA) | https://www.shepherd.org/ | People with disabilities needing driving evaluation & training | Varies (driving evaluation/training) | Rolling | ORG | Atlanta rehab hospital's certified driver rehab program (adaptive driving).
Association for Driver Rehabilitation Specialists (ADED) | ADED | https://drivingrehab.org/ | People with disabilities seeking certified driving evaluation | Varies (find certified driver rehab specialist) | Rolling | ORG | Directory of certified driver rehab specialists for adaptive driving evaluation.
Drivability (DrivingRehab.com) | Drivability.com | https://www.drivability.com/ | People with disabilities needing adaptive driving equipment | Varies (adaptive driving devices & info) | Rolling | ORG | Provider of adaptive driving aids & driver rehab info.
St. Vincent de Paul - Baltimore (car repair) | SVdP Baltimore | https://www.vincentbaltimore.org/ | Low-income Baltimore residents (disability priority) needing car repair | Varies (car repair assistance) | Rolling | FAITH | Catholic charity helps with emergency car repair incl. clients with disabilities.
St. Vincent de Paul - San Diego (car repair) | SVdP San Diego | https://svdp-sandiego.org/ | Low-income San Diego residents needing car repair | Varies (car repair vouchers) | Rolling | FAITH | Faith-based emergency auto repair assistance for the poor incl. disabled.
Disability Rights Ohio - Vehicle/Accessibility Help | Disability Rights Ohio | https://www.disabilityrightsohio.org/ | Ohioans with disabilities needing advocacy on vehicle/access issues | Varies (advocacy & referrals) | Rolling | ORG | Protection & advocacy; helps with transportation/accessibility rights.
Disability Rights North Carolina | Disability Rights NC | https://www.disabilityrightsnc.org/ | North Carolinians with disabilities needing advocacy/transport help | Varies (advocacy & referrals) | Rolling | ORG | Protection & advocacy; transportation/accessibility assistance referrals.
