# Shinnslist — Long-Tail: Car Repair / Vehicle / Transportation Assistance for Low-Income Individuals & Families
# Prepared: 2026-08-15 · Method: named national charities + faith orgs (Catholic Charities/SVdP/Salvation Army/Lutheran) + Goodwill/Wheels-to-Work + CAA network + nonprofit transportation. NOT federal.gov.
# URL verification: every URL curl-checked HTTP 200 (403 = live but Cloudflare-bot-walled, verified real org; CC San Francisco had one transient 503, returns 200). All currently open / rolling.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT/WHAT_THEY_GIVE | DEADLINE_OR_ROLLING | SOURCE_TYPE | GEO_SCOPE | ONE-LINE_NOTES

Free Charity Cars / 1-800-Charity Cars | 1-800-Charity Cars (national 501c3) | https://www.freecharitycars.org | Low-income individuals/families who cannot afford a vehicle | Free donated car transferred at no cost | Rolling | National charity | national | Nationwide donated-vehicle program; apply online; small processing fee may apply
St Vincent de Paul Arizona | SVdP Arizona | https://www.svdpaz.org | Low-income Arizona (Phoenix metro) residents | Car repair assistance | Rolling | Faith org | local (Phoenix AZ) | Known for car-repair help for the working poor
St Vincent de Paul Detroit | SVdP Detroit | https://www.svdpdetroit.org | Low-income Metro Detroit residents | Emergency car repair / assistance | Rolling | Faith org | local (Detroit MI) | Local council with auto-repair help
St Vincent de Paul Los Angeles | SVdP Los Angeles | https://www.svdpla.org | Low-income LA residents | Car repair / vehicle assistance | Rolling | Faith org | local (Los Angeles CA) | Large SVdP chapter with vehicle programs
Salvation Army USA | The Salvation Army (national) | https://www.salvationarmyusa.org | Low-income individuals/families | Emergency assistance incl. car repair & transportation | Rolling | Faith org | national | Local corps provide emergency auto/transport help
Salvation Army Metro Phoenix | Salvation Army Phoenix | https://salvationarmyphoenix.org | Low-income Phoenix metro residents | Emergency assistance incl. transportation | Rolling | Faith org | local (Phoenix AZ) | Local corps of national network
Lutheran Services America | Lutheran Services America (network) | https://www.lutheranservices.org | Low-income individuals/families | Transportation/car repair via member agencies | Rolling | Faith org | national | Network of 300+ member agencies nationwide
Lutheran Social Service of Minnesota | LSS Minnesota | https://www.lssmn.org | Low-income Minnesota residents | Car repair / transportation assistance | Rolling | Faith org | state (MN) | Large MN social-services provider
United Way | United Way Worldwide (network) | https://www.unitedway.org | Low-income individuals/families | Funds car repair/transport; dial 211 to find local help | Rolling | Nonprofit network | national | 211 helpline connects to local transportation/car aid
Drive to Work | Drive to Work (Virginia nonprofit) | https://www.drivetowork.org | Virginia residents with suspended license due to fines | Legal help to restore driving privileges to keep a job | Rolling | Nonprofit | state (VA) | License restoration so people can drive to work
Vehicles for Veterans | Vehicles for Veterans (501c3) | https://www.vehiclesforveterans.org | Veterans / disabled veterans | Donated vehicles | Rolling | National charity | national (veterans) | Car-donation program supporting veterans
Community Action Partnership | Community Action Partnership (national) | https://communityactionpartnership.com | Low-income individuals/families | CAAs run transportation & vehicle programs; find local CAA | Rolling | CAA network | national | 1,000+ local CAAs deliver transport help
Goodwill SW Pennsylvania | Goodwill of Southwestern PA | https://www.goodwillswpa.org | Low-income job seekers | Community / Wheels-to-Work vehicle & transport programs | Rolling | Nonprofit (Goodwill) | local (SW PA) | Inquire locally about the Wheels to Work vehicle program
Goodwill of the Heartland | Goodwill of the Heartland (IA/NE/SD) | https://www.goodwillheartland.org | Low-income job seekers | Vehicle / transportation assistance programs | Rolling | Nonprofit (Goodwill) | regional (IA/NE/SD) | Goodwill chapter with employment & transport services
Goodwill Kansas | Goodwill Industries of Kansas | https://www.goodwillks.org | Low-income Kansas residents | Employment & transportation assistance | Rolling | Nonprofit (Goodwill) | state (KS) | Goodwill chapter; verify local vehicle program
