Salvation Army Emergency & Christmas Assistance (local corps) | The Salvation Army | https://www.salvationarmyusa.org/location-finder/ | Low-income families incl. single parents, residents near a local corps | Varies (rent, utilities, deposits, food, Christmas gifts) | Rolling | faith/church | Use location finder to contact local corps for emergency/holiday aid; each corps sets own rules
Habitat for Humanity Neighborhood Revitalization | Habitat for Humanity | https://www.habitat.org/our-work/neighborhood-revitalization | Low-income homeowners incl. single parents | Home repair and critical repair assistance (cost varies by affiliate) | Rolling | national nonprofit | Many affiliates offer home repair programs alongside new builds
Habitat Homeowners Program | Habitat for Humanity | https://www.habitat.org/housing-help/habitat-homeowners | Low-income families incl. single parents seeking affordable homeownership/repairs | Affordable mortgages / no-profit homeownership support | Rolling | national nonprofit | Sweat-equity model; apply at local Habitat affiliate
Vehicles for Change Vehicle Awards | Vehicles for Change | https://www.vehiclesforchange.org/our-impact-programs/vehicle-awards | Income-qualified families incl. single parents needing reliable car for work/school | Donated/reconditioned cars (low-cost, typically a few hundred dollars) | Rolling | national nonprofit | Maryland/Virginia/D.C. region; must be employed/in job training
Good News Garage | Good News Garage | https://goodnewsgarage.org/ | Low-income residents of New England incl. single parents | Donated/repaired reliable cars at no/low cost | Rolling | national nonprofit | New England (VT, MA, NH, CT); free/discounted cars with support
Toys for Tots | Marine Toys for Tots Foundation | https://www.toysfortots.org/request-a-toy/ | Families with children in need at Christmas | New unwrapped toys/gifts for children | Rolling (request season runs Nov-Dec) | national nonprofit | Apply through local Toys for Tots chapter each holiday season
Salvation Army Walmart Angel Tree | The Salvation Army | https://www.salvationarmyusa.org/walmart-angel-tree/ | Low-income families with children at Christmas | Christmas gifts/clothing for kids | Rolling (season runs Nov-Dec) | faith/church | Angel Tree tags at participating Walmarts; register with local corps
USPS Operation Santa | United States Postal Service | https://www.uspsoperationsanta.com | Families/individuals who write a letter requesting holiday gifts | Holiday gifts (no cash) | Rolling (letters accepted Nov-Dec) | corporate | Register and submit letter online; matched with volunteer adopters
Operation Warm coats | Operation Warm | https://www.operationwarm.org/our-coats/ | Children in need, incl. kids of single parents | Brand-new winter coats (via partner schools/agencies) | Rolling | national nonprofit | Coats distributed through community partners, schools, and agencies
One Warm Coat | One Warm Coat | https://www.onewarmcoat.org | Anyone in need of a warm coat, incl. single parents | Free warm coats via local coat drives | Rolling | national nonprofit | Find a local coat drive or partner agency; free to recipients
Cradles to Crayons - Boston | Cradles to Crayons | https://www.cradlestocrayons.org/boston/family-assistance/ | Children 0-12 in low-income families, incl. single parents | Free clothing, shoes, school supplies, books, essentials | Rolling | national nonprofit | Boston chapter; kids referred through partner agencies/schools
Cradles to Crayons - Chicago | Cradles to Crayons | https://www.cradlestocrayons.org/chicago/family-assistance/ | Children 0-12 in low-income families, incl. single parents | Free clothing, shoes, school supplies, books, essentials | Rolling | national nonprofit | Chicago chapter; access via partner agencies/schools
Cradles to Crayons - Philadelphia | Cradles to Crayons | https://www.cradlestocrayons.org/philadelphia/family-assistance/ | Children 0-12 in low-income families, incl. single parents | Free clothing, shoes, school supplies, books, essentials | Rolling | national nonprofit | Philadelphia chapter; referrals through partner agencies
Baby2Baby | Baby2Baby | https://www.baby2baby.org | Low-income families with children 0-12, incl. single parents | Diapers, clothing, wipes, essential items (via partner agencies) | Rolling | national nonprofit | Distributes essentials through a network of partner agencies; no direct individual application
Family Promise | Family Promise | https://familypromise.org | Families incl. single parents experiencing homelessness or at risk | Shelter, housing stabilization, and support services | Rolling | national nonprofit | ~200 local affiliates; find your local affiliate for intake
United Way community assistance | United Way Worldwide | https://www.uw.org | Communities incl. single parents | Varies (childcare, housing, utility help via local UW & 2-1-1) | Rolling | 211 | Local United Ways fund and operate assistance programs; contact local office
Operation Homefront Critical Financial Assistance | Operation Homefront | https://operationhomefront.org/critical-financial-assistance/ | Military & veteran families incl. single-parent service members facing financial crisis | Grants for rent, utilities, food, other essentials | Rolling | national nonprofit | Service-connected families only; apply online with eligibility
