# LONG-TAIL: VETERAN-SPECIFIC HOME REPAIR / MODIFICATION / ACCESSIBILITY / TEMPORARY HOUSING PROGRAMS
# Sweep date: 2026-08-15. Each URL curl-verified (curl -sIL -L, Chrome UA); 200 = confirmed live at sweep.
# 403 = live-but-bot-walled real org, kept only where the program is corroborated (well-known 501(c)(3)).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

1. Homes For Our Troops (HFOT) | Homes For Our Troops (national 501c3) | https://www.hfotusa.org/ | Severely injured post-9/11 veterans with catastrophic injuries | Specially adapted, mortgage-free custom home | Rolling (application + evaluation) | ORG | Builds 100% accessible, mortgage-free homes for severely injured veterans. Also home visits. Apply online; high demand, waitlisted.
23. National Veterans Foundation | National Veterans Foundation | https://veterans.org/ | All U.S. veterans & families | Crisis help, benefit/housing navigation | Rolling (help line) | ORG | Runs a veterans help line and direct assistance for housing and urgent needs across the country.

24. Texas Veterans Commission — Home Modification Grant | Texas Veterans Commission (TVC) | https://www.tvc.texas.gov/veterans/grants/home-modification/ | Texas veterans with service-connected disability; homeowners | Home modification grants (accessibility, ramps) | Rolling | STATE | Texas-specific grant to modify homes for disabled veterans' accessibility. Apply through TVC.

25. Illinois Dept. of Veterans Affairs — Homes & Services | Illinois DVA | https://veterans.illinois.gov/ | Illinois veterans & families | Housing assistance & benefit navigation | Rolling | STATE | Illinois DVA connects veterans to housing, repair, and benefit programs via county VSOs.

26. Ohio Dept. of Veterans Services | Ohio Dept. of Veterans Services | https://dvs.ohio.gov/ | Ohio veterans & families | Benefit claims, housing/repair navigation | Rolling | STATE | Ohio DVS helps veterans access housing/accessibility benefits and county-level assistance.

27. Michigan Veterans Affairs Agency | Michigan MVAA | https://www.michigan.gov/mvaa | Michigan veterans & families | Benefits, housing & homeless prevention help | Rolling | STATE | MVAA coordinates veteran benefits incl. housing support and homeless prevention across Michigan.

28. Pennsylvania DMVA — Veterans Services | PA Dept. of Military & Veterans Affairs | https://www.dmva.pa.gov/ | Pennsylvania veterans & families | Benefit & housing/repair navigation | Rolling | STATE | PA DMVA helps veterans access housing, repair and benefit programs through county VSOs.

29. VA — Veterans Experiencing Homelessness Programs | U.S. Dept. of Veterans Affairs | https://www.va.gov/homeless/ | Veterans who are homeless or at risk | Emergency/transitional housing, case management | Rolling | GOV | VA homeless programs provide temporary housing, rapid rehousing and case support to keep veterans housed.

30. Catholic Charities USA — Veterans Services | Catholic Charities USA (network) | https://www.catholiccharitiesusa.org/ | Veterans & low-income families | Emergency home repair, rent, utilities (via local) | Rolling (via local agency) | FAITH | 160+ local Catholic Charities agencies assist veterans with emergency repair, housing and basic needs.
