Dell Scholars Program | Dell Technologies | https://www.dellscholars.org/ | Low-income, first-generation college-bound high school seniors who overcame significant obstacles | $20,000 over 4 years + laptop | Annual (app deadline typically Jan 15) | corporate | Funded by Michael & Susan Dell Foundation; requires full-time undergraduate enrollment
National Honor Society (NHS) Scholarships | National Honor Society / NASSP | https://www.honorsociety.org/ | NHS members in good standing | Varies | Annual | national nonprofit | Member benefit scholarships and college funding programs
American Legion Auxiliary Scholarships | American Legion Auxiliary | https://www.alaforveterans.org/ | Children, grandchildren, and descendants of veterans, plus ALA members | Varies by program | Annual (varies) | civic club | Includes the Legion Auxiliary National President's Scholarship
Zonta International Scholarships & Fellowships | Zonta International | https://www.zonta.org/ | Women pursuing STEM, business, and other fields (e.g., Amelia Earhart Fellowship, Jane M. Klausman) | $2,000-$10,000 (approx.) | Rolling (via local chapters) | sorority/civic | Apply through local Zonta clubs; global award opportunities
Lambda Theta Alpha Scholarships | Lambda Theta Alpha Latin Sorority | https://www.lambdathetaalpha.org/ | College women, particularly Latinas, and community members | Varies | Annual | sorority/fraternity | Academic excellence and community service focus
Zeta Phi Beta Sorority Scholarships | Zeta Phi Beta Sorority, Inc. | https://www.zphib.org/ | Undergraduate/graduate students, community and membership programs | Varies | Annual | sorority/fraternity | Administered through National Educational Foundation
Alpha Epsilon Pi Scholarships | Alpha Epsilon Pi Fraternity | https://www.aepi.org/ | AEPI members and their families | Varies | Annual | sorority/fraternity | Educational foundation provides merit and need-based aid
AWIS (Association for Women in Science) Scholarships | AWIS | https://www.awis.org/ | Women pursuing science, technology, engineering, math degrees | Varies | Annual | trade association | Supports women in STEM education and careers
YMCA Foundation Scholarships | YMCA of the USA / local Ys | https://www.ymcafoundation.org/ | Students at YMCA-affiliated colleges and community programs | Varies | Rolling | community foundation | Local YMCA chapters administer funding
AFCEA Educational Foundation Scholarships | AFCEA | https://www.afcea.org/ | Undergraduate/graduate students in STEM and cybersecurity (often military-connected) | $2,000-$5,000 | Annual | trade association | U.S. and ROTC/military-focused awards
AXA Foundation Achievement Scholarships | AXA Foundation | https://www.axafoundation.org/ | High-achieving high school seniors | Up to $25,000 | Annual | corporate | Leadership and community service focus
Scholarship America Programs | Scholarship America | https://www.scholarshipamerica.org/ | U.S. students via Dollars for Scholars and corporate-sponsored programs | Varies by program | Rolling | national nonprofit | Central scholarship management organization
Hispanic-Serving Scholarship Hub | Hispanic Scholarship Hub | https://www.hispanic-scholarship.org/ | Hispanic and minority college-bound students | Varies | Rolling | national nonprofit | Aggregator and direct scholarship resource
ASEF Scholarship | Asian & Pacific Islander American Scholarship Fund (APIA) | https://www.asef.net/ | Asian American and Pacific Islander students | Varies | Annual | national nonprofit | Need- and merit-based for API students
National Society of High School Scholars (NSHSS) Scholarships | NSHSS | https://www.nshss.org/scholarships/ | High-achieving high school students (membership) | Varies | Rolling | national nonprofit | Member scholarship opportunities
