American Indian College Fund | American Indian College Fund | https://collegefund.org/ | Enrolled or self-identified American Indian/Alaska Native students seeking higher education | Varies by scholarship; up to ~$10,000/yr | Rolling | national nonprofit | Largest native scholarship fund; supports TCU and mainstream university students
Chickasaw Nation services | Chickasaw Nation | https://www.chickasaw.net/ | Enrolled Chickasaw citizens | Varies | Rolling | tribal | Tribal citizen services including education and health
Sealaska | Sealaska Corporation | https://www.sealaska.com/ | Alaska Native shareholders of Sealaska Corporation | Varies (shareholder dividends, scholarships) | Rolling | tribal | Native corporation for Southeast Alaska Natives; shareholder services
Sealaska Heritage Institute | Sealaska Heritage Institute | https://www.sealaskaheritage.org/ | Alaska Natives, especially Tlingit/Haida/Tsimshian | Varies (scholarships, programs) | Rolling | tribal | Cultural and educational programs and scholarships
Native American Disability Law Center | Native American Disability Law Center | https://www.nativeamericanlaw.org/ | Native Americans with disabilities in Four Corners region | Free legal services | Rolling | national nonprofit | Legal assistance on disability rights for Native individuals
National Indian Education Association | National Indian Education Association | https://www.niea.org/ | Native educators and students; advocates for native education | Varies (grants/advocacy) | Rolling | national nonprofit | Advocacy and resources for Native education
NICWA / Native Child | National Indian Child Welfare Association | https://nativechild.org/ | Native children and families (child welfare) | Varies (support services) | Rolling | national nonprofit | Child welfare support and advocacy for Native families
Center for Native American Youth | Center for Native American Youth (Aspen) | https://www.cnay.org/ | Native youth | Varies (programs, scholarships) | Rolling | national nonprofit | Youth leadership and well-being programs
National Indian Council on Aging | National Indian Council on Aging | https://www.nicoa.org/ | Native American elders | Varies (programs/services) | Rolling | national nonprofit | Services and advocacy for Native elders
National Center for American Indian Enterprise Development | NCAIED | https://www.ncaied.org/ | Native American entrepreneurs and businesses | Varies (loans, training) | Rolling | national nonprofit | Business development and certification for Native businesses
Oweesta Corporation | Oweesta Corporation | https://oweesta.org/ | Native American communities and Native CDFIs | Loans ($ thousands to millions) | Rolling | community foundation | Native CDFI providing loans and financial training
United Indians of All Tribes | United Indians of All Tribes Foundation | https://www.unitedindians.org/ | Native Americans in the Pacific Northwest | Varies (services, education) | Rolling | national nonprofit | Seattle-area Native services including the Daybreak Star Center
NAFOA | Native American Finance Officers Association | https://www.nafoa.org/ | Native finance professionals and tribal finance | Varies (training) | Rolling | national nonprofit | Finance/economic development resources for tribes
National Congress of American Indians | National Congress of American Indians | https://www.ncai.org/ | Native American tribes and individuals | Varies (advocacy, resources) | Rolling | national nonprofit | Largest tribal advocacy organization
Native Americans in Philanthropy | Native Americans in Philanthropy | https://www.nativephilanthropy.org/ | Native nonprofit leaders and organizations | Varies (grants, fellowships) | Rolling | community foundation | Supports Native-led philanthropy and leadership
American Indian Higher Education Consortium | AIHEC | https://www.aihec.org/ | Tribal College and University students | Varies (programs) | Rolling | national nonprofit | Umbrella for Tribal Colleges and Universities
Native American Life | Native American Life | https://www.nativeamericanlife.org/ | Native Americans and allies | Varies | Rolling | national nonprofit | Cultural education and community resources
Native Health | Native Health | https://www.nativehealth.org/ | Native Americans (primarily Alaska, Phoenix area) | Varies (health services) | Rolling | national nonprofit | Native-led health services provider
Native Wellness Institute | Native Wellness Institute | https://www.nativewellness.com/ | Native individuals and communities | Varies (training) | Rolling | national nonprofit | Wellness and healing training for Native communities
Americans for Indian Opportunity | Americans for Indian Opportunity | https://www.aian.org/ | Native Americans nationwide | Varies (leadership programs) | Rolling | national nonprofit | Native leadership development
First Nations community grants | First Nations Development Institute | https://www.firstnations.org/grants | Native nonprofits and tribal governments | Varies | Annual deadlines | community foundation | Direct listing of open grant opportunities
