Freelancers Union | Freelancers Union | https://www.freelancersunion.org/ | Independent workers, freelancers, gig and self-employed across all US states | Membership plus resources; hardship fund paused - access to insurance, legal and tax help | Rolling | national nonprofit | Membership org for 100% independent workers; current hardship-relief fund is closed so no cash grant today - use for advocacy/resources
Adhikaar | Adhikaar | https://adhikaar.org/ | Nepali-speaking and other immigrant low-wage workers in NY | Emergency relief and case assistance, varies | Rolling | national nonprofit | Worker-rights nonprofit providing emergency support for domestic and gig-adjacent workers
Give an Hour | Give an Hour | https://giveanhour.org/ | Essential and frontline workers incl. gig and service workers | Free mental-health counseling sessions | Rolling | national nonprofit | Network of volunteer therapists; page live but 403 to bare curl (bot-protected), 200 in browser
Backline | Backline | https://backline.care/ | Music industry professionals incl. gig musicians | Mental-health and wellness support, therapy-fund referrals | Rolling | national nonprofit | Peer-supported mental health org for the music community; page live but 403 to bare curl (bot-protected), 200 in browser
Stride Health | Stride Health | https://www.stridehealth.com/ | Self-employed, freelancers and gig/delivery/rideshare workers | Free health-insurance plan navigation and subsidies for ACA coverage | Rolling | corporate | Free tool + advisors help gig workers pick subsidized ACA plans; no direct cash payout
The Creative Independent | The Creative Independent | https://thecreativeindependent.com/ | Freelance and independent creative workers | Free editorial guides, grants/finance resources (no direct cash) | Rolling | national nonprofit | Free resource hub on funding, business and health for creative freelancers
IFundWomen | IFundWomen | https://www.ifundwomen.com/ | Women-owned and independent businesses, incl. solo freelancers | Coaching plus grant opportunities, grant amounts vary | Rolling | national nonprofit | Crowdfunding + grant-calendar platform connecting self-employed women to grants
Amber Grants | WomensNet | https://www.ambergrants.com/ | Women entrepreneurs and self-employed business owners | $10,000 grant awarded each month | Rolling | corporate | Monthly microgrant for women founders, plus end-of-year $25,000 grant
Black Girl Ventures | Black Girl Ventures | https://www.blackgirlventures.org/ | Black and Brown women founders, incl. solo entrepreneurs | Grants via pitch competitions, typically $10,000-$25,000 | Rolling | national nonprofit | Crowdfunding plus pitch grants for Black/Brown women-led ventures
Digitalundivided projectDIG | Digitalundivided | https://www.digitalundivided.com/ | Black and Latinx women founders and solo business owners | Pitch prizes and program grants, varies | Rolling | national nonprofit | projectDIG offers pitch competition, funding and support for Black/Latinx women founders
Amplify Her Foundation | Amplify Her Foundation | https://www.amplifyherfoundation.org/ | Women-owned small businesses and independent entrepreneurs | Grants typically $1,000-$10,000 | Rolling | national nonprofit | Women-empowerment grants and mentorship for women founders
Comcast RISE | Comcast | https://www.comcastrise.com/ | Small businesses owned by people of color, incl. solo operators | $5,000 grants plus marketing/tech/creative services | Rolling | corporate | Applications open in periodic rounds; offers cash grants and production services for minority-owned small businesses
America's SBDC | America's SBDC | https://americassbdc.org/ | Small business owners and self-employed/independent contractors | Free one-on-one consulting and guidance (no cash) | Rolling | local-state gov | Network of Small Business Development Centers offering free business counseling; delivered locally
Center for Community Self-Employment | Center for Community Self-Employment | https://www.selfemployment.org/ | Self-employed and micro-entrepreneurs, esp. low-income and immigrant (MN/WI) | Training plus lending, loans vary | Rolling | community foundation | Nonprofit offering training, coaching and micro-loans to self-employed workers
WESST | WESST | https://www.wesst.org/ | New Mexico self-employed, small businesses, day-laborers and gig workers | Small-business loans and free counseling, loans vary | Rolling | local-state gov | New Mexico nonprofit providing lending and training to self-employed entrepreneurs
LiftFund | LiftFund | https://liftfund.com/ | Self-employed and small businesses, esp. women, minority, veteran, low-credit | Microloans from $500 up to $1M | Rolling | national nonprofit | CDFI lender offering small-business microloans when banks decline
Accion | Accion (US) | https://accion.org/ | Self-employed individuals and small business owners | Microloans typically up to $50,000+ | Rolling | national nonprofit | CDFI microfinance for entrepreneurs who lack traditional credit access
Kiva US | Kiva | https://www.kiva.org/ | Self-employed individuals and entrepreneurs in the US | 0% interest crowdfunded microloans up to about $15,000 | Rolling | national nonprofit | Crowdfunded zero-interest microloans for gig workers and small businesses
