settlement,payout,deadline,deadline_iso,no_proof_needed,claim_url,description
Tinder Age Discrimination (California),Varies,8/18/26,2026-08-18,YES,https://www.tindercalclassaction.com/,"You may be included in this settlement if you paid for Tinder Plus or Tinder Gold in California when you were over the age of 29 at any time between March 2, 20"
Datavant Group - Data Breach,"Up to $5,000",8/18/26,2026-08-18,YES,https://www.datavantdataincidentsettlement.com/,You may be included in this settlement if your personal information was potentially compromised in the May 2024 Datavant Group data breach.
Mattress Sale Prices,$30 Voucher,8/18/26,2026-08-18,YES,https://molloypricingsettlement.com/,"You may be covered by this settlement if you bought one or more products at a price advertised as a discount from a higher reference price from Siena, Nectar, D"
Wright Brothers Construction Company - Data Breach,"$50 - $4,767",8/18/26,2026-08-18,YES,https://wbccsettlement.com/,You may be included in this settlement if your private information was potentially compromised in the April 2024 Wright Brothers Construction Company data breac
AlbanyPark - Discounts,$115,8/18/26,2026-08-18,YES,https://www.chiechiclassactionsettlement.com/,"You may be included in this settlement if you made a purchase on www.AlbanyPark.com between June 21, 2020 and October 31, 2024."
Ciuni & Panichi - Data Breach,"$125 - $5,000",8/18/26,2026-08-18,YES,https://cpdatasettlement.com/,You may be included in this settlement if you received a notice regarding a November 2024 data breach affecting Ciuni & Panichi.
Legends Hospitality - Data Breach,"$200 - $5,000",8/19/26,2026-08-19,YES,https://legendsdatasettlement.com/,"You may be included in this settlement if your private information was exposed in the data breaches affecting Legends Hospitality in November 2024, December 202"
iQ Credit Union - Overdraft Fees,Varies,8/19/26,2026-08-19,YES,https://thompsonfeessettlement.com/,"You may be included in this settlement if iQ Credit Union charged you certain types of overdraft or non-sufficient funds fees between December 12, 2018 and July"
Mt. Baker Imaging - Data Breach,"Up to $5,000",8/19/26,2026-08-19,YES,https://www.mtbakerdatasettlement.com/,This settlement covers those whose private information was potentially compromised in the January 2025 Mt. Baker Imaging data breach.
State Farm - Total Loss Claims (Arkansas),$489 (est.),8/19/26,2026-08-19,NO,https://www.statefarmartotallosslitigation.com/,"You may be included in this settlement if you filed a claim on a State Farm insurance policy in Arkansas between November 29, 2016 and October 18, 2021 where th"
WaterStreet Company - Data Breach,"$55 - $3,000",8/19/26,2026-08-19,YES,https://waterstreetsettlement.com/,You may be included in this settlement if your private information was potentially impacted in the March 2025 WaterStreet Company data breach.
Compex Legal Services - Data Breach,"$100 - $5,000+",8/19/26,2026-08-19,YES,https://compexdatasettlement.com/,You may be included in this settlement if your personal information was compromised in the Compex Legal Services data breach discovered in April 2024.
OBI Seafoods - Data Breach,"Up to $5,000",8/20/26,2026-08-20,YES,https://obiseafoodsdatasettlement.com/,"If your private information was compromised in the August 2024 OBI Seafoods data breach, you may be included in this settlement."
Wyssta Services - Data Privacy,Up to $16.50,8/20/26,2026-08-20,YES,https://www.wysstaservicesclassaction.com/,"You may be included in this settlement if you had an account on my.deltadentalcoversme.com between January 23, 2021 and January 23, 2025."
Memorial Health Services - Data Privacy,Varies,8/21/26,2026-08-21,YES,https://mhspixelsettlement.com/,"You may be included in this settlement if you accessed the Memorial Health Services MyChart patient portal between March 7, 2022 and July 8, 2022."
Marlboro-Chesterfield Pathology - Data Breach,"$10 - $1,000",8/21/26,2026-08-21,YES,https://m-cpsettlement.com/,You may be included in this settlement if your personal information was potentially affected by a data breach announced by Marlboro-Chesterfield Pathology in Ma
Team Car Care - Job Postings (Washington),"Est. $1,519.58",8/21/26,2026-08-21,YES,https://tccsettlement.com/,"You may be able to claim a piece of this settlement if you applied for a job opening with Team Car Care in Washington between January 1, 2023 and April 28, 2026"
Liberty Mutual - Retirement Plan,Varies,8/22/26,2026-08-22,YES,https://libertymutual401ksettlement.com/,"This settlement covers participants and beneficiaries of the Liberty Mutual 401(k) Plan from April 10, 2014 through December 31, 2025."
Costco - Marketing Emails (Washington),Varies,8/24/26,2026-08-24,YES,https://www.washingtoncommercialemailsettlement.com/,"You may be included in this settlement if you received an email from Costco while living in Washington between June 2, 2021 and July 7, 2026."
New York Renaissance Faire - Ticket Fees,Up to $20,8/24/26,2026-08-24,YES,https://nyrenfaireticketfeesettlement.com/,You may be included in this settlement if you paid a service charge to buy an electronic ticket to the New York Renaissance Faire from the New York Renaissance 
Lakeview Health Systems - Data Breach,"$50 - $5,000",8/24/26,2026-08-24,YES,https://lakeviewhealthsettlement.com/,You may be included in this settlement if your private information was compromised in the January 2024 Lakeview Health Systems data breach.
Costco - Marketing Emails (Washington),Varies,8/24/26,2026-08-24,YES,https://www.washingtoncommercialemailsettlement.com/,"You may be included in this settlement if you received an email from Costco while living in Washington between June 2, 2021 and July 7, 2026."
McKenzie Health System - Data Breach,"$50 - $4,000",8/24/26,2026-08-24,YES,https://mckenziehealthsettlement.com/,You may be able to claim a piece of this settlement if your private information was compromised in the April 2025 McKenzie Health System data breach.
CR&R - Data Breach,"$150 - $5,000",8/24/26,2026-08-24,YES,https://crrdatasettlement.com/,"If you received a notice about the December 2022 CR&R data breach, you may be included in this settlement."
Big Al’s - Employment,Varies,8/24/26,2026-08-24,YES,https://baincsettlement.com/,"You may be able to claim a piece of this settlement if you worked for Big Al’s between January 1, 2020, and May 22, 2026 and earned less than twice the applicab"
National Association of Realtors - Homebuyer Litigation,Varies,8/25/26,2026-08-25,NO,https://homebuyerlitigation.com/home/,You may be included in this settlement if you bought residential real estate in the United States since 2006 that was listed on a multiple listing service.
SpotHero - Drip Pricing (California),$4.76 (est.),8/25/26,2026-08-25,YES,https://www.shpricingsettlement.com/,"You may be included in this settlement if you bought at least one parking reservation through SpotHero’s website or its mobile app between July 1, 2024 and Marc"
KYB Americas Corporation - Data Breach,"$75 - $5,400",8/26/26,2026-08-26,YES,https://kybdatasettlement.com/,This settlement covers those whose personal information was exposed in the February 2025 KYB Americas Corporation data breach.
Talcott - Premium Tax Charges,Varies,8/26/26,2026-08-26,YES,https://www.premiumtaxsettlement.com/,"If you had certain life insurance policies issued or owned by a Hartford or Talcott life insurance company that were subject to a premium tax charge, you may be"
Hillcrest Convalescent Center - Data Breach,"$50 - $2,500",8/26/26,2026-08-26,YES,https://hccdatasettlement.com/,You may be included in this settlement if your private information was compromised in the June 2024 Hillcrest Convalescent Center data breach.
City of Detroit - Water Supply Services (Michigan),• New,8/26/26,2026-08-26,YES,https://www.detroitwatersettlement.com/,"You may be included in this settlement if you received water services from the City of Detroit between August 1, 2022 and May 31, 2026."
Fanatics - Handling Fees,Two $5 Vouchers,8/27/26,2026-08-27,YES,https://handlingfeesettlement.com/,"If you purchased merchandise through the Fanatics websites between May 6, 2018 and March 30, 2026 and paid a handling fee, you may be covered by this settlement"
2023 Las Vegas Grand Prix,Varies,8/27/26,2026-08-27,NO,https://www.lvgp2023ticketsettlement.com/index.html,You may be included in this settlement if you had a ticket for the 2023 Las Vegas Grand Prix and attempted to attend the FP2 free practice session.
Fanatics - Handling Fees,Two $5 Vouchers,8/27/26,2026-08-27,YES,https://handlingfeesettlement.com/,"If you purchased merchandise through the Fanatics websites between May 6, 2018 and March 30, 2026 and paid a handling fee, you may be covered by this settlement"
Walton Women’s Center - Data Breach,"Up to $2,500",8/27/26,2026-08-27,YES,https://www.hwwcdataincidentsettlement.com/,This settlement covers those whose personal information was potentially compromised in the February 2022 Walton Women’s Center data breach.
Berman & Rabin - Data Breach,"Up to $3,500",8/27/26,2026-08-27,YES,https://bermanrabinsettlement.com/,You may be included in this settlement if your private information was exposed in the July 2024 Berman & Rabin data breach.
BMW Shark-Fin Antennas,Varies,8/27/26,2026-08-27,NO,https://sharkfinsettlement.com/,"You may be covered by this settlement if you owned or leased certain 2019-2020 model year BMW X3, X4, X5, X6, or X7 vehicles."
Call-On-Doc - Data Privacy,Up to $20,8/29/26,2026-08-29,YES,https://callondoccipasettlement.com/,"You may be included in this settlement if you created an account on the Call-On-Doc website on or after November 7, 2023, or if you were a registered Call-On-Do"
YouTube TV - Subscription Renewals (California),$92.26 (est.),8/30/26,2026-08-30,YES,https://www.youtubetvsettlement.com/,You may be included in this settlement if you lived in California and paid for at least one renewal term of a YouTube TV subscription via YouTube billing betwee
YouTube TV - Subscription Renewals (California),$92.26 (est.),8/30/26,2026-08-30,YES,https://www.youtubetvsettlement.com/,You may be included in this settlement if you lived in California and paid for at least one renewal term of a YouTube TV subscription via YouTube billing betwee
Urban One - Data Breach,"$500 - $10,000",8/31/26,2026-08-31,YES,https://urbanonedataincident.com/,You may be covered by this settlement if your personal information was exposed in the Urban One data breach discovered in March 2025.
FMC Services - Data Breach,"$75 - $5,000",8/31/26,2026-08-31,YES,https://www.fmcdatasettlement.com/,You may be included in this settlement if your private information was potentially compromised in the July 2022 FMC Services data breach.
Mary Black Health System (South Carolina),• New,8/31/26,2026-08-31,YES,https://maryblackclassaction.com/,"If you received medical treatment at Mary Black Memorial Hospital or Gaffney H.M.A. in South Carolina since January 1, 2014 and your medical bills were not subm"
FitOn - Data Privacy,$10,8/31/26,2026-08-31,YES,https://fitonvppasettlement.com/,"You may be included in this settlement if you had a FitOn account and accessed at least one video on the platform between October 22, 2022 and May 29, 2026."
Permobil - SpeedControl Dials,• New,8/31/26,2026-08-31,YES,https://www.speedcontroldialsettlement.com/,"You may be included in this settlement if you bought or used a SpeedControl Dial between April 1, 2022 and July 1, 2026."
Serviceaide - Data Breach,"$50 - $5,000",9/1/26,2026-09-01,YES,https://serviceaidedatasettlement.com/,You may be included in this settlement if your personal information was exposed in the Serviceaide data breach that took place between September and November 20
AOD Federal Credit Union - Data Breach,"$75 - $5,000",9/1/26,2026-09-01,YES,https://aodfcudataincidentsettlement.com/,You may be included in this settlement if your personal information was compromised in the August 2024 AOD Federal Credit Union data breach.
Guitar Center - Employee Wages,Varies,9/1/26,2026-09-01,YES,https://www.caemployeesettlementguitarcenter.com/,"You may be included in this settlement if you worked for Guitar Center as a non-exempt employee between January 11, 2020 and July 11, 2025."
Crimson Wine - Data Breach,"$100 - $5,000",9/1/26,2026-09-01,YES,https://crimsonwinesettlement.com/,You may be included in this settlement if your private information was compromised in the January 2024 Crimson Wine data breach.
Equifax - Duplicate Collection Accounts,Varies,9/1/26,2026-09-01,YES,https://duplicateaccountfcrasettlement.com/,You may be able to claim a piece of this settlement if you had a duplicate collection account reflected in your Equifax file at the same time there was an inqui
ZOLL Medical Corporation - Data Breach,"Est. $50 - $5,000",9/2/26,2026-09-02,YES,https://www.heartdevicedatasettlement.com/,"If you received a notice stating that your personal information may have been exposed in the January 2023 ZOLL Medical Corporation data breach, you may be inclu"
Greater Rochester Independent Practice Association - Data Breach,"$100 - $2,500",9/3/26,2026-09-03,YES,https://www.moveitsettlementgripa.com/index.html,You may be able to claim a piece of this settlement if your personal information was exposed in the May 2023 MOVEit data breach that impacted Greater Rochester 
Abbott Laboratories Employees Credit Union - Data Breach,"Up to $2,500+",9/3/26,2026-09-03,YES,https://alecdatasettlement.com/,"If your private information was compromised in the August 2024 Abbott Laboratories Employees Credit Union data breach, you may be able to claim a piece of this "
Okanogan Behavioral Healthcare - Data Breach,"$50 - $5,350",9/3/26,2026-09-03,YES,https://okanogandatasettlement.com/,You may be included in this settlement if your private information was exposed in the data breach discovered by Okanogan Behavioral Healthcare in May 2024.
Circle K - Data Breach,"$50 - $2,000",9/3/26,2026-09-03,YES,https://gasexpressdatasettlement.com/,This settlement covers those who received notice that their private information was affected by the May 2024 Circle K data breach.
AMCA Data Breach - Labcorp,"$50 - $5,000",9/3/26,2026-09-03,YES,https://www.amcadatabreachsettlement83395.com/,You may be included in this settlement if you received diagnostic services from Labcorp and your personal information was potentially exposed in a data breach a
Omni Healthcare Financial Holdings - Data Breach,"$40 - $5,000",9/3/26,2026-09-03,YES,https://omnihealthcaresettlement.com/,You may be included in this settlement if your personal information was exposed in the January 2024 Omni Healthcare Financial Holdings data breach.
Scale AI - Employee Wages (California),Varies,9/3/26,2026-09-03,YES,https://mckinneyscaleaisettlement.com/,"You may be included in this settlement if you were an independent contractor who performed services with Scale AI, Smart Ecosystem or HireArt while residing in "
Calverton Park - Vehicle Towing,Varies,9/4/26,2026-09-04,NO,https://www.calvertonparkclassaction.com/,"You may be included in this settlement if your vehicle was towed from private property by the city of Calverton Park between September 25, 2018 and June 26, 202"
Smith & Nephew U.S. Savings Plan,• New,9/4/26,2026-09-04,YES,https://smithandnephewerisa.com/,"This settlement covers anyone who was a participant or beneficiary of the Smith & Nephew U.S. Savings Plan at any time between August 30, 2018, and May 13, 2026"
Lucent Health Solutions - Data Breach,"$80 - $6,175",9/5/26,2026-09-05,YES,https://lhdatabreachsettlement.com/,"If your private information was compromised in the October 2023 Lucent Health Solutions data breach, you may be included in this settlement."
Banner Health - Data Privacy,$20,9/5/26,2026-09-05,YES,https://bannerhealthdatasettlement.com/,"You may be included in this settlement if you logged in to a Banner Health patient account between June 1, 2020 and November 22, 2023."
BrandSafway - Job Postings (Washington),"Est. $1,632.11",9/7/26,2026-09-07,YES,https://epoasettlementbsw.com/,"You may be included in this settlement if you applied for a job opening with BrandSafway or its affiliates in Washington between January 1, 2023 and July 8, 202"
Allina Health System - Data Privacy,Varies,9/8/26,2026-09-08,YES,https://www.allinapixelsettlement.com/,"You may be included in this settlement if you used Allina Health System's websites between September 16, 2018 and May 11, 2026."
T-Mobile - Job Postings (Washington),"$1,487.82",9/8/26,2026-09-08,YES,https://www.epoasettlementtmui.com/,"You may be included in this settlement if you applied for a job with T-Mobile in Washington between January 1, 2023, and May 21, 2026."
Parks Heritage Federal Credit Union - Data Breach,"$75 - $4,500",9/8/26,2026-09-08,YES,https://www.parksheritagedataincident.com/,You may be included in this settlement if your personal information was exposed in the July 2024 Parks Heritage Federal Credit Union data breach.
Lemonade Insurance Agency - Data Disclosure,"Up to $10,000",9/8/26,2026-09-08,YES,https://www.lemonadedatadisclosuresettlement.com/,You may be included in this settlement if your personal information was compromised in a data incident that affected Lemonade Insurance Agency's quotation platf
Disney - Streaming Antitrust,Varies,9/8/26,2026-09-08,YES,https://onlinetvsettlement.com/,"You may be included in this settlement if you paid for a YouTube TV subscription or DirecTV streaming live pay TV subscription between April 1, 2019 and March 3"
Pineland Community Service Board - Data Breach,"Up to $5,000",9/9/26,2026-09-09,YES,https://www.pinelandsettlement.com/,You may be included in this settlement if your private information was potentially impacted in a data breach affecting Pineland Community Service Board between 
Illinois Institute of Technology - COVID Tuition,Varies,9/10/26,2026-09-10,YES,https://iltech2020settlement.com/,"You may be included in this settlement if you were an Illinois Tech student who paid or were obligated to pay tuition, fees, or other costs to Illinois Tech for"
STIIIZY - Data Breach,"Up to $7,500",9/10/26,2026-09-10,YES,https://www.stiiizydatabreachsettlement.com/,"If your personal information was exposed in the October 2024 STIIIZY data breach, you may be able to claim a piece of this settlement."
"Dohman, Akerlund & Eddy - Data Breach","$50 - $5,000",9/10/26,2026-09-10,YES,https://dohmandatasettlement.com/,"You may be included in this settlement if your private information was compromised in the February 2024 Dohman, Akerlund & Eddy data breach."
Aetna Life Insurance - Lumbar Artificial Disc Replacement,"Up to $55,000",9/10/26,2026-09-10,NO,https://www.ladrsurgerysettlement.com/,You may be included in this settlement if you had a pre-service authorization request or post-service claim for single-level lumbar artificial disc replacement 
American College of Medical Quality - Marketing Faxes,Up to $500,9/11/26,2026-09-11,YES,https://www.acmqfaxsettlement.com/,You may be covered by this settlement if you received a fax advertisement from American College of Medical Quality in August 2022.
Concord Hospital - Data Privacy,Varies,9/11/26,2026-09-11,YES,https://concordpixelsettlement.com/,"You may be able to claim a piece of this settlement if you used the Concord Hospital website between May 9, 2021 and June 12, 2026."
Payactiv - Data Breach,"Up to $2,500",9/12/26,2026-09-12,NO,https://payactivdataincidentsettlement.com/,You may be included in this settlement if your personal information was compromised in the April 2025 Payactiv data breach.
Chantix - Nitrosamine,Varies,9/14/26,2026-09-14,YES,https://chantixsettlement.com/home-page/,"You may be included in this settlement if you bought Chantix between September 29, 2015 and September 17, 2021."
Central Transport - Sex Discrimination,• New,9/14/26,2026-09-14,YES,https://centraltransportsettlement.com/,"You may be included in this settlement if you are a female, applied for a position as a truck driver with Central Transport after Jan. 1, 2016, had a CDL A and "
Refresco Beverages - Job Postings (Washington),"1,724.39 (est.)",9/14/26,2026-09-14,YES,https://refrescosettlement.com/,"You may be able to claim a piece of this settlement if you applied for a job opening at Refresco Beverages in Washington between January 1, 2023 and June 5, 202"
SunTrust Bank - Overdraft Fees (Georgia),Varies,9/14/26,2026-09-14,YES,https://suntrustoverdraftclassaction.com/,"You may be included in this settlement if you had an account with SunTrust Bank and were charged at least one overdraft fee between July 12, 2006 and April 15, "
Google Play - Data Privacy,Varies,9/14/26,2026-09-14,YES,https://www.coppaprivacyclassaction.com/,"This settlement covers those who downloaded or used an app from Google Play from April 1, 2015 to the present while under the age of 13."
Comcast - Data Breach,"$50 - $10,000",9/14/26,2026-09-14,YES,https://comcastbreachsettlement.com/,You may be covered by this settlement if you received notice that your personal information was potentially compromised in the October 2023 Comcast data breach.
Schuster - Data Breach,"$50 - $2,500",9/14/26,2026-09-14,YES,https://schusterdataincident.com/,You may be included in this settlement if your personal information was exposed in the January 2024 Schuster data breach.
Farmer's Insurance - Unwanted Calls,Up to $160,9/14/26,2026-09-14,YES,https://www.heckathorntcpasettlement.com/,You may be included in this settlement if you received two or more telemarketing calls from certain Farmer's Insurance agents or their agencies between April 19
Lighthouse Electric Company - Data Breach,"$60 - $2,750",9/14/26,2026-09-14,YES,https://lighthouseelectricdataincident.com/,"If your personal information was exposed in the October 2024 Lighthouse Electric Company data breach, you may be included in this settlement."
Western Montana Clinic - Data Breach,"$20 to $5,060",9/15/26,2026-09-15,YES,https://www.wmcsettlement.com/,"You may be included in this settlement if your personal information was exposed in the Western Montana Clinic data breach that occurred between March 11, 2025 a"
Vector Security - Data Breach,"$50 - $2,000",9/15/26,2026-09-15,YES,https://vectorsettlement.com/,"If your private information was compromised in the December 2024 Vector Security data breach, you may be able to claim a piece of this settlement."
Soliant Health - Job Postings (Washington),"$652 - $5,000",9/15/26,2026-09-15,YES,https://sh-spsepoasettlement.com/,"You may be included in this settlement if you applied for a job with Soliant Health or Soliant Physician Staffing in Washington between January 1, 2023 and May "
American Consumer Credit Counseling - Data Breach,"$45 - $3,580",9/16/26,2026-09-16,YES,https://acccsettlement.com/,You may be included in this settlement if your private information was exposed in the January 2025 American Consumer Credit Counseling data breach.
Penn Medicine - Data Privacy,Up to $15,9/16/26,2026-09-16,YES,https://www.uphspixelsettlement.com/,"You may be included in this settlement if you accessed the myPennMedicine patient portal between January 23, 2021 and January 23, 2023."
Strides Pharma - Testosterone Gel,Varies,9/16/26,2026-09-16,NO,https://stridesgelsettlement.com/,"If you purchased testosterone gel manufactured by Strides Pharma between June 1, 2022 and July 31, 2025, you may be included in this settlement."
Aspire Health Alliance - Data Breach,"Up to $2,500",9/16/26,2026-09-16,YES,https://aspiredataincident.com/,You may be included in this settlement if your personal information was exposed in the September 2023 Aspire Health Alliance data breach.
Oppenheimer Cash Sweep,Varies,9/17/26,2026-09-17,NO,https://www.oppenheimercashsweeplitigation.com,"You may be included in this settlement if you participated in Oppenheimer's Advantage Bank Deposit Program between March 17, 2022 and May 22, 2026."
Evergy - 401(k),Varies,9/17/26,2026-09-17,YES,https://evergyerisa.com/,This settlement covers participants and beneficiaries of the Evergy 401(k) Savings Plan who invested in any of the American Century Target Date Funds.
Moodswings - Ticket Fees,$2 - $7 per ticket,9/18/26,2026-09-18,YES,https://moodswingsticketingsettlement.com/,"This settlement covers those who bought tickets online through tickets.mesmerica.com, tickets.beautifica.show, changeworlds.org and ticketshop.mesmerica.com in "
Columbus Regional Health - Data Privacy,$25.50,9/19/26,2026-09-19,YES,https://columbusregionalsettlement.com/,This settlement covers current and former patients of Columbus Regional Health who completed a registration for access to their electronic records between Novem
Excel Fitness Management - Data Breach,"$50 - $4,000",9/21/26,2026-09-21,YES,https://excelfitnessdatasettlement.com/,You may be included in this settlement if your private information was compromised in the January 2025 Excel Fitness Management data breach.
Toyota IC Forklift,Varies,9/22/26,2026-09-22,NO,https://forkliftsettlement.com/,"You may be included in this settlement if you bought or leased an IC Toyota forklift on or before January 20, 2026."
Medical Record Fees (West Virginia),• New,9/22/26,2026-09-22,YES,https://www.wvhospitalsclassaction.com/,"You may be included in this settlement if you paid for copies of medical records from a West Virginia University medical entity between December 1, 2010 and Jul"
National Tenant Network - Eviction Reports,• New,9/22/26,2026-09-22,YES,https://ntnpostcardsettlement.com/,"You may be included in this settlement if you were the subject of postcards that the National Tenant Network sent to suspected landlords between June 30, 2018 a"
700Credit - Data Breach,"$50 - $2,500",9/22/26,2026-09-22,YES,https://700creditdatabreachsettlement.com/,You may be included in this settlement if your personal information was impacted by the data breach detected by 700Credit in October 2025.
Dovenmuehle - Phone Payment Fees,Varies,9/23/26,2026-09-23,YES,https://dovenmuehlephonefeelawsuit.com/home,This settlement covers those with a residential mortgage loan securing a property in North Carolina that was serviced by Dovenmuehle who paid a fee for making a
Drug and Alcohol Treatment Services - Data Breach,"Up to $5,000",9/24/26,2026-09-24,YES,https://www.datsdatabreachsettlement.com/,You may be included in this settlement if your personal information was impacted by the October 2024 Drug and Alcohol Treatment Services data breach.
"Night US, Brooklyn Bedding - Mattresses (California)",$110,9/25/26,2026-09-25,YES,https://nightbbsettlement.com/,"You may be included in this settlement if you bought a mattress listed at a discount from leesa.com, brooklynbedding.com, helixsleep.com, or bearmattress.com in"
Tesla - Idle Fees,$10 - $350+,9/25/26,2026-09-25,YES,https://teslaidlefeeclassaction.com/,"You may be included in this settlement if you bought a Supercharger-enabled Tesla vehicle in California before December 16, 2016 and were a citizen of Californi"
Red Robin - Job Postings (Washington),• New,9/25/26,2026-09-25,YES,https://rrepoasettlement.com/,"You may be able to claim a piece of this settlement if you applied for a job with Red Robin in Washington between January 1, 2023 and June 12, 2026."
